"EnsemblGeneID"	"Chr"	"GeneStart"	"GeneEnd"	"Status"	"ExternalID"	"R1L1Kidney"	"R1L2Liver"	"R1L3Kidney"	"R1L4Liver"	"R1L6Liver"	"R1L7Kidney"	"R1L8Liver"	"R2L1Liver"	"R2L2Kidney"	"R2L3Liver"	"R2L4Kidney"	"R2L6Kidney"	"R2L7Liver"	"R2L8Kidney"
"ENSG00000169717"	1	2927906	2929325	"KNOWN"	"ACTRT2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000177121"	1	2970496	2974193	"KNOWN"	"Q8N6L5_HUMAN"	85	0	84	1	0	60	1	2	89	0	93	98	0	75
"ENSG00000142611"	1	2975604	3345045	"KNOWN"	"PRDM16"	47	2	37	2	3	44	1	2	45	4	51	54	0	48
"ENSG00000130762"	1	3361100	3387537	"KNOWN"	"ARHGEF16"	58	3	60	1	8	51	2	6	61	1	55	56	3	59
"ENSG00000162591"	1	3394373	3517919	"KNOWN"	"MEGF6"	29	20	20	38	23	16	26	20	27	26	26	21	31	26
"ENSG00000207776"	1	3467119	3467214	"KNOWN"	"hsa-mir-551a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000158109"	1	3531416	3536549	"KNOWN"	"FAM79A"	188	204	200	232	230	184	209	200	200	260	168	228	219	184
"ENSG00000116213"	1	3537191	3556517	"KNOWN"	"WDR8"	18	10	28	13	21	15	22	20	23	18	19	28	8	16
"ENSG00000078900"	1	3558989	3639716	"KNOWN"	"TP73"	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"ENSG00000187648"	1	3652025	3652627	"KNOWN"	"NP_997189.1"	7	3	4	2	5	4	1	1	10	3	5	4	2	5
"ENSG00000162592"	1	3658822	3678069	"KNOWN"	"CCDC27"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000130764"	1	3686644	3702928	"KNOWN"	"LRRC47"	108	90	86	98	90	114	76	91	106	119	108	106	97	88
"ENSG00000116198"	1	3721204	3763657	"KNOWN"	"KIAA0562"	84	50	87	39	46	88	46	33	80	42	95	106	43	73
"ENSG00000169598"	1	3763705	3791853	"KNOWN"	"DFFB"	6	12	17	10	8	12	13	7	13	8	9	10	6	10
"ENSG00000198912"	1	3795563	3806709	"KNOWN"	"C1orf174"	55	32	40	31	25	39	26	16	51	32	56	57	19	31
"ENSG00000196581"	1	4614965	4743711	"KNOWN"	"AJAP1"	8	1	11	2	2	18	2	2	12	3	12	12	0	8
"ENSG00000216045"	1	5798518	5798606	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000131697"	1	5845457	5975118	"KNOWN"	"NPHP4"	22	10	17	12	9	24	4	10	25	5	18	23	13	19
"ENSG00000069424"	1	5974113	6083840	"KNOWN"	"KCNAB2"	93	17	67	25	23	72	17	33	84	23	82	81	22	71
"ENSG00000116254"	1	6084440	6162770	"KNOWN"	"CHD5"	4	0	4	2	0	6	2	1	4	0	1	5	0	6
"ENSG00000116251"	1	6167668	6182266	"KNOWN"	"RPL22"	315	140	308	158	164	330	144	115	358	174	272	364	132	251
"ENSG00000158286"	1	6188138	6203946	"KNOWN"	"RNF207"	55	24	61	30	25	61	23	35	66	38	73	65	31	53
"ENSG00000116237"	1	6203840	6218631	"KNOWN"	"ICMT"	176	60	164	68	53	148	51	32	173	52	146	184	42	163
"ENSG00000181563"	1	6220455	6222064	"KNOWN"	"C1orf211"	0	2	1	0	2	1	0	1	1	0	0	2	1	0
"ENSG00000173673"	1	6226232	6228682	"KNOWN"	"HES3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000158292"	1	6229993	6243622	"KNOWN"	"GPR153"	4	19	8	19	15	4	20	17	8	16	6	7	24	7
"ENSG00000097021"	1	6246920	6376413	"KNOWN"	"ACOT7"	86	17	78	18	28	81	13	25	88	15	73	90	28	94
"ENSG00000204902"	1	6249419	6249879	"KNOWN"	"Q6UXW7_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000069812"	1	6395065	6407317	"KNOWN"	"HES2"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000187017"	1	6407435	6443591	"KNOWN"	"ESPN"	102	138	84	137	112	83	131	178	108	146	108	107	173	102
"ENSG00000215788"	1	6443798	6448855	"KNOWN"	"TNFRSF25"	16	5	7	5	9	13	9	5	7	7	16	20	6	12
"ENSG00000171680"	1	6448739	6502708	"KNOWN"	"PLEKHG5"	22	5	18	8	6	22	3	4	27	10	27	21	8	30
"ENSG00000162408"	1	6507809	6537182	"KNOWN"	"NOL9"	40	17	33	20	22	43	19	25	38	26	31	39	21	37
"ENSG00000209367"	1	6523501	6523581	"NOVEL"	""	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ENSG00000173662"	1	6538021	6562403	"KNOWN"	"TAS1R1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000204859"	1	6562698	6571926	"KNOWN"	"ZBTB48"	26	32	42	38	42	30	29	40	35	36	24	35	38	37
"ENSG00000162413"	1	6573366	6585648	"KNOWN"	"KLHL21"	146	70	145	74	67	146	60	66	148	80	148	161	75	147
"ENSG00000116273"	1	6596332	6606643	"KNOWN"	"PHF13"	50	22	40	16	21	37	30	15	52	19	36	41	25	41
"ENSG00000041988"	1	6607513	6618219	"KNOWN"	"THAP3"	21	12	21	13	14	14	21	8	27	13	20	32	14	10
"ENSG00000007923"	1	6616818	6684466	"KNOWN"	"DNAJC11"	246	100	203	100	88	234	94	107	278	125	234	278	95	242
"ENSG00000171735"	1	6767971	7752351	"KNOWN"	"CAMTA1"	85	19	92	19	16	108	15	20	82	12	63	88	12	60
"ENSG00000175861"	1	7032589	7034351	"KNOWN"	"Q8N7E4_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000207056"	1	7202007	7202171	"NOVEL"	""	0	0	0	0	0	0	2	0	0	0	0	0	2	0
"ENSG00000204819"	1	7370049	7370483	"KNOWN"	"Q6ZRP9_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000049245"	1	7753916	7770120	"KNOWN"	"VAMP3"	146	56	135	56	64	143	50	41	155	56	107	154	40	120
"ENSG00000049246"	1	7766967	7827824	"KNOWN"	"PER3"	94	100	126	111	93	85	86	69	131	99	101	119	73	85
"ENSG00000049247"	1	7825730	7836159	"KNOWN"	"UTS2"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000212677"	1	7901641	7902027	"KNOWN"	"Q6ZUN9_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000049249"	1	7902495	7923474	"KNOWN"	"TNFRSF9"	0	0	0	0	0	0	0	0	1	0	1	1	0	0
"ENSG00000209371"	1	7912926	7912995	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000116288"	1	7944310	7967926	"KNOWN"	"PARK7"	364	214	395	229	198	394	171	160	481	208	380	474	195	344
"ENSG00000200344"	1	7965530	7965630	"NOVEL"	""	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"ENSG00000116285"	1	7994370	8008955	"KNOWN"	"ERRFI1"	115	1669	144	1753	1710	115	1675	1313	143	1794	91	153	1298	88
"ENSG00000200975"	1	8189081	8189244	"NOVEL"	""	0	1	0	2	1	0	1	0	0	0	0	0	0	0
"ENSG00000209383"	1	8274810	8274910	"NOVEL"	""	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000162426"	1	8300756	8326804	"KNOWN"	"SLC45A1"	26	0	31	0	1	30	0	0	29	0	30	32	0	34
"ENSG00000206757"	1	8310714	8310824	"NOVEL"	""	0	0	2	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000142599"	1	8335053	8800286	"KNOWN"	"RERE"	464	192	463	191	163	458	155	152	523	176	455	446	174	415
"ENSG00000209385"	1	8779220	8779313	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000074800"	1	8843650	8861367	"KNOWN"	"ENO1"	1499	337	1528	311	336	1318	301	312	1546	343	1401	1551	342	1411
"ENSG00000201725"	1	8866073	8866177	"NOVEL"	""	0	0	0	1	0	0	1	0	0	0	0	0	0	0
"ENSG00000183445"	1	8876155	8876427	"NOVEL"	""	0	0	0	0	0	0	1	0	1	1	0	0	0	1
"ENSG00000131686"	1	8928509	8957733	"KNOWN"	"CA6"	0	2	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000212621"	1	8962224	8962520	"NOVEL"	""	0	0	1	2	0	0	0	0	0	0	0	0	0	1
"ENSG00000197241"	1	8985946	9008991	"KNOWN"	"SLC2A7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000142583"	1	9019594	9052257	"KNOWN"	"SLC2A5"	13	0	16	0	1	14	0	0	24	1	17	20	1	17
"ENSG00000212602"	1	9065342	9065525	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000180758"	1	9087063	9111837	"KNOWN"	"GPR157"	4	2	5	0	2	5	1	2	7	2	5	7	2	3
"ENSG00000207865"	1	9134314	9134423	"KNOWN"	"hsa-mir-34a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000204772"	1	9159046	9164932	"KNOWN"	"Q6ZWG2_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000049239"	1	9217450	9253983	"KNOWN"	"H6PD"	183	838	232	822	814	179	773	793	207	895	164	199	807	175
"ENSG00000171621"	1	9275571	9352175	"KNOWN"	"SPSB1"	13	27	16	30	37	7	24	36	14	35	13	13	50	20
"ENSG00000209395"	1	9420354	9420424	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000171612"	1	9522115	9565415	"KNOWN"	"SLC25A33"	20	20	22	21	23	19	24	16	25	15	26	31	15	17
"ENSG00000188807"	1	9571564	9595728	"KNOWN"	"NP_001010866.1"	1	0	5	0	1	9	0	2	3	0	5	5	0	6
"ENSG00000171608"	1	9634390	9943653	"KNOWN"	"PIK3CD"	16	14	30	18	14	20	14	16	22	19	21	26	30	20
"ENSG00000179840"	1	9635266	9637231	"KNOWN"	"C1orf200"	0	0	1	1	1	0	1	0	0	1	0	3	0	0
"ENSG00000171603"	1	9711667	9807137	"KNOWN"	"CLSTN1"	533	68	576	44	51	556	62	62	635	81	580	581	48	549
"ENSG00000204749"	1	9810496	9810879	"KNOWN"	"Q6ZNG5_HUMAN"	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000178585"	1	9830921	9892908	"KNOWN"	"CTNNBIP1"	90	38	75	36	32	82	32	27	84	31	76	72	31	82
"ENSG00000162441"	1	9911584	9926052	"KNOWN"	"LZIC"	32	24	57	28	25	53	14	18	73	23	47	68	16	39
"ENSG00000173614"	1	9926073	9968143	"KNOWN"	"NMNAT1"	60	21	38	26	22	52	24	22	50	22	45	44	18	38
"ENSG00000202415"	1	9929963	9930281	"NOVEL"	""	1	0	0	1	0	0	1	0	0	1	0	0	0	0
"ENSG00000162444"	1	9979842	9998665	"KNOWN"	"RBP7"	26	6	32	4	7	24	4	3	26	4	16	22	7	20
"ENSG00000130939"	1	10015630	10163876	"KNOWN"	"UBE4B"	167	85	161	74	77	127	74	84	158	108	125	175	80	143
"ENSG00000201746"	1	10145917	10146019	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000054523"	1	10193418	10364248	"KNOWN"	"KIF1B"	207	129	248	119	119	223	108	89	219	116	193	230	99	169
"ENSG00000199562"	1	10281611	10281717	"NOVEL"	""	0	0	0	0	2	0	1	0	0	0	0	0	0	0
"ENSG00000142657"	1	10381668	10402788	"KNOWN"	"PGD"	166	82	159	63	79	138	78	60	138	89	136	177	86	136
"ENSG00000175279"	1	10412746	10434797	"KNOWN"	"APITD1"	30	8	22	10	6	22	8	9	20	11	16	32	6	22
"ENSG00000160049"	1	10443192	10455200	"KNOWN"	"DFFA"	87	50	74	44	42	90	42	51	105	44	59	92	52	76
"ENSG00000142655"	1	10457590	10613400	"KNOWN"	"PEX14"	36	38	36	34	22	25	39	47	44	37	42	40	47	50
"ENSG00000209421"	1	10599480	10599759	"NOVEL"	""	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000130940"	1	10619267	10779294	"KNOWN"	"CASZ1"	36	7	44	4	2	43	4	3	56	9	54	45	3	50
"ENSG00000175262"	1	10929120	10946877	"KNOWN"	"C1orf127"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000215785"	1	10973429	10974441	"NOVEL"	""	1	4	0	1	0	0	1	1	0	0	0	0	1	0
"ENSG00000207213"	1	10982508	10982589	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000120948"	1	10995266	11008133	"KNOWN"	"TARDBP"	152	138	181	131	122	176	108	101	179	120	159	178	95	133
"ENSG00000009724"	1	11008649	11029876	"KNOWN"	"MASP2"	10	162	12	145	132	10	139	132	9	174	6	9	160	6
"ENSG00000116649"	1	11037236	11042678	"KNOWN"	"SRM"	37	37	32	42	43	44	40	49	54	47	42	47	50	53
"ENSG00000171824"	1	11049268	11082530	"KNOWN"	"EXOSC10"	104	44	108	51	49	111	60	56	86	56	94	118	50	70
"ENSG00000198793"	1	11089179	11245176	"KNOWN"	"FRAP1"	204	113	198	133	119	174	119	110	226	124	186	224	102	164
"ENSG00000209426"	1	11134994	11135057	"NOVEL"	""	0	0	0	0	0	1	0	0	0	0	0	0	0	0
